annee,prix,nom,genre,pays
1925,Literature,George Bernard Shaw,Male,Ireland
1925,Peace,Austen Chamberlain,Male,United Kingdom
1925,Peace,Charles G. Dawes,Male,United States of America
1925,Physics,Gustav Ludwig Hertz,Male,Germany
1925,Physics,James Franck,Male,Germany
1926,Chemestry,Theodor Svedberg,Male,Sweden
1926,Literature,Grazia Deledda,Female,Italy
1926,Medicine,Johannes Fibiger,Male,Denmark
1926,Peace,Gustav Stresemann,Male,Germany
1926,Peace,Aristide Briand,Male,France
1926,Physics,Jean Baptiste Perrin,Male,France
1927,Chemestry,Heinrich Otto Wieland,Male,Germany
1927,Literature,Henri Bergson,Male,France
1927,Medicine,Julius Wagner-Jauregg,Male,Austria
1927,Peace,Ludwig Quidde,Male,Germany
1927,Peace,Ferdinand Buisson,Male,France
1927,Physics,Charles Thomson Rees Wilson,Male,United Kingdom
1927,Physics,Arthur Compton,Male,United States of America
1928,Chemestry,Adolf Otto Reinhold Windaus,Male,Germany
1928,Literature,Sigrid Undset,Female,Norway
1928,Medicine,Charles Nicolle,Male,France
1928,Physics,Owen Willans Richardson,Male,United Kingdom
1929,Chemestry,Arthur Harden,Male,United Kingdom
1929,Chemestry,Hans von Euler-Chelpin,Male,"Germany, Sweden"
1929,Literature,Thomas Mann,Male,Germany
1929,Medicine,Christiaan Eijkman,Male,Netherlands
1929,Medicine,Frederick Gowland Hopkins,Male,United Kingdom
1929,Peace,Frank B. Kellogg,Male,United States of America
1929,Physics,Louis de Broglie,Male,France
1930,Chemestry,Hans Fischer,Male,Germany
1930,Literature,Sinclair Lewis,Male,United States of America
1930,Medicine,Karl Landsteiner,Male,Austria
1930,Peace,Nathan Söderblom,Male,Sweden
1930,Physics,C. V. Raman,Male,India
1931,Chemestry,Friedrich Bergius,Male,Germany
1931,Chemestry,Carl Bosch,Male,Germany
1931,Literature,Erik Axel Karlfeldt,Male,Sweden
1931,Medicine,Otto Heinrich Warburg,Male,Germany
1931,Peace,Jane Addams,Female,United States of America
1931,Peace,Nicholas Murray Butler,Male,United States of America
1932,Chemestry,Irving Langmuir,Male,United States of America
1932,Literature,John Galsworthy,Male,United Kingdom
1932,Medicine,Edgar Adrian,Male,United Kingdom
1932,Medicine,Charles Scott Sherrington,Male,United Kingdom
1932,Physics,Werner Heisenberg,Male,Germany
1933,Literature,Ivan Bunin,Male,"France, Russia"
1933,Medicine,Thomas Hunt Morgan,Male,United States of America
1933,Peace,Norman Angell,Male,United Kingdom
1933,Physics,Erwin Schrödinger,Male,Austria
1933,Physics,Paul Dirac,Male,United Kingdom
1934,Chemestry,Harold Urey,Male,United States of America
1934,Literature,Luigi Pirandello,Male,Italy
1934,Medicine,George Whipple,Male,United States of America
1934,Medicine,George Minot,Male,United States of America
1934,Medicine,William P. Murphy,Male,United States of America
1934,Peace,Arthur Henderson,Male,United Kingdom
1935,Chemestry,Frédéric Joliot-Curie,Male,France
1935,Chemestry,Irène Joliot-Curie,Female,France
1935,Medicine,Hans Spemann,Male,Germany
1935,Peace,Carl von Ossietzky,Male,Germany
1935,Physics,James Chadwick,Male,United Kingdom
1936,Chemestry,Peter Debye,Male,Netherlands
1936,Literature,Eugene O'Neill,Male,United States of America
1936,Medicine,Henry Hallett Dale,Male,United Kingdom
1936,Medicine,Otto Loewi,Male,Austria
1936,Peace,Carlos Saavedra Lamas,Male,Argentina
1936,Physics,Carl David Anderson,Male,United States of America
1936,Physics,Victor Francis Hess,Male,Austria
1937,Chemestry,Norman Haworth,Male,United Kingdom
1937,Chemestry,Paul Karrer,Male,Switzerland
1937,Literature,Roger Martin du Gard,Male,France
1937,Medicine,Albert Szent-Györgyi,Male,Hungary
1937,Peace,The Viscount Cecil of Chelwood,Male,United Kingdom
1937,Physics,Clinton Davisson,Male,United States of America
1937,Physics,George Paget Thomson,Male,United Kingdom
1938,Chemestry,Richard Kuhn,Male,"Austria, Germany"
1938,Literature,Pearl S. Buck,Female,United States of America
1938,Medicine,Corneille Heymans,Male,Belgium
1938,Peace,Nansen International Office For Refugees,,
1938,Physics,Enrico Fermi,Male,Italy
1939,Chemestry,Adolf Butenandt,Male,Germany
